,filename,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau,hero_adapt,hero_avg_rate,hero_first_isi,hero_isi_cv,hero_latency,hero_mean_isi,hero_median_isi,hero_stim_amp,rheo_threshold_v,rheo_trough_v,rheo_fast_trough_v,rheo_slow_trough_v,rheo_adp_v,rheo_width,rheo_upstroke_downstroke_ratio,rheo_peak_t,rheo_fast_trough_t,rheo_trough_t,rheo_slow_trough_t,rheo_peak_v,qc_blowout_mv,qc_electrode_0_pa,qc_recording_date,qc_seal_gohm,qc_input_resistance_mohm,qc_initial_access_resistance_mohm,qc_input_access_resistance_ratio
0,sub-770227957_ses-770611326_icephys.nwb,-79.08551788330078,130.0,0.1650033000660013,0.007618858944624662,-87.64375305175781,107.81249403953552,0.018136870245657435,0.03028295231933121,9.000180003600073,0.07304,0.12325565669406272,0.07028000000000001,0.10338249999999997,0.10837999999999998,170.0,-41.51875305175781,-57.650001525878906,-53.462501525878906,-57.650001525878906,,0.0009400000000000519,1.2600642167905363,0.70936,0.7117600000000001,0.7554000000000001,0.7554000000000001,46.36249923706055,,-61.07500076293945,2018-10-31 03:37:36,1.7494618880000001,121.38708,15.228290999999999,0.12545232161445846
1,sub-611526465_ses-611616224_icephys.nwb,-73.85196933230839,190.0,0.07394087292499299,0.017477555200457573,-84.03125762939453,86.58860623836517,0.021302509852002476,,1.0000200004000082,,,0.18408000000000002,,,230.0,-37.0,-50.781253814697266,-49.093753814697266,-50.781253814697266,-45.968753814697266,0.0006999999999999229,1.0993460398570192,0.7667999999999999,0.76874,0.8137399999999999,0.8137399999999999,51.84375,,-30.049999237060547,2017-08-22 04:39:59,1.258797696,84.89211999999999,6.3566145,0.07487873432775623
2,sub-672637567_ses-672650708_icephys.nwb,-80.89384536743164,200.0,0.07780327800074119,0.04436367005109787,-88.96875,64.84375149011612,0.01667787954657688,0.06273755432957641,8.000160003200065,0.06247999999999987,0.19947641117453765,0.07684000000000002,0.12141714285714286,0.12938000000000005,239.99998474121094,-37.15625,-51.21875,-47.187503814697266,-51.21875,-46.40625,0.0008399999999999519,1.3215016518290907,0.6714199999999999,0.67408,0.7190399999999999,0.7190399999999999,46.531253814697266,,47.95249938964844,2018-03-14 01:13:33,3.585694976,97.6702,5.941744,0.0608347684349986
3,sub-758233315_ses-758763787_icephys.nwb,-60.092258029513886,150.0,0.029310931046207123,0.024248147383332253,-69.51875305175781,89.21889960765839,0.032979579227618995,,1.0000200004000082,,,0.06646000000000007,,,190.0,-27.631250381469727,-41.92500305175781,-38.66875076293945,,,0.0010200000000000209,1.4598226320121492,0.6510400000000001,0.6539400000000001,0.70618,,63.162498474121094,,-102.69625091552734,2018-09-26 19:42:47,1.146001024,91.85535999999999,7.78989,0.08480604724645356
4,sub-592433014_ses-592558145_icephys.nwb,-66.52550106956845,50.0,0.14844046880937617,0.07564365118741989,-87.00000762939453,163.26932609081268,0.03981801628357157,0.32113998152100415,6.000120002400049,0.009820000000000162,1.0664113260196313,0.058519999999999905,0.13204800000000003,0.032299999999999995,90.0,-46.59375,-60.718753814697266,-60.687503814697266,,,0.0009400000000001629,1.2991091682104607,0.67272,0.6751799999999999,0.6754199999999999,,41.9375,,-10.417499542236328,2017-05-31 19:45:09,2.791191808,127.55411199999999,10.922061,0.08562688280876433
5,sub-758233315_ses-758294414_icephys.nwb,-67.06454467773438,100.0,0.1400027970041795,0.007642071694135666,-76.79999542236328,115.7810166478157,0.016977576389965252,0.060852098787452104,8.000160003200065,0.07250000000000001,0.18834157629889964,0.0806,0.12853142857142855,0.1361199999999999,140.0,-25.98750114440918,-41.0,-35.95625305175781,-41.0,,0.0010200000000000209,1.3028892316134844,0.73236,0.7350800000000001,0.79576,0.79576,49.250003814697266,,40.084999084472656,2018-09-26 03:56:26,2.1780728320000002,110.15471199999999,7.0740865,0.0642195542211576
6,sub-731978186_ses-732063450_icephys.nwb,-70.50877107892718,160.0,0.07842262126364323,0.03826712444424629,-80.28125,88.90625089406967,0.01866631621322937,0.2757177609227783,6.000120002400049,0.00641999999999987,0.7764294882586925,0.08190000000000008,0.156528,0.23918000000000017,200.0,-33.687503814697266,-42.1875,-42.156253814697266,,,0.0008999999999999009,1.2973012269113393,0.66812,0.6700999999999999,0.67008,,50.625003814697266,,79.3125,2018-08-08 02:07:22,0.999643456,88.74570399999999,5.7480579999999994,0.064769985936446
7,sub-731978186_ses-732791475_icephys.nwb,-66.68476816813151,180.0,0.04723624010444029,0.1053532063961029,-72.68750762939453,42.34374687075615,0.022013560190168296,0.5476679810237652,4.000080001600033,0.009100000000000108,0.7064373219162674,0.09179999999999988,0.2810000000000001,0.3564400000000001,220.0,-34.031253814697266,-41.593753814697266,-41.531253814697266,,,0.001000000000000112,1.5818730227716924,0.6633,0.66598,0.6660200000000001,,48.5,,96.80750274658203,2018-08-08 22:04:02,1.803759616,50.224624,5.4852745,0.10921484449540131
8,sub-591270122_ses-591399423_icephys.nwb,-62.48375199970446,29.999998092651367,0.07972848446860424,0.027938218787312508,-99.50000762939453,461.07956767082214,0.06145405238539811,0.33330228101525367,4.000080001600033,0.03550000000000009,0.4860412734322353,0.04039999999999999,0.09387999999999996,0.0992599999999999,70.0,-36.03125,-50.375003814697266,-50.218753814697266,,,0.0014800000000001479,2.3598605345732047,0.6153200000000001,0.61978,0.6203000000000001,,45.21875,,1.9450000524520874,2017-05-24 18:13:26,2.3507537920000003,311.635872,9.217228,0.029576915971984124
9,sub-770227957_ses-770369639_icephys.nwb,-64.75291213989257,140.0,0.13191753196766057,0.13297270238399506,-70.91875457763672,78.43741774559021,0.015515371365351999,0.243516880007692,6.000120002400049,0.011319999999999997,0.47447724368958244,0.04870000000000008,0.18170399999999998,0.22027999999999992,180.0,-41.3125,-49.38750457763672,-49.33125305175781,,,0.0009799999999999809,1.5195432681318357,0.6150800000000001,0.61778,0.618,,55.07500457763672,,-31.186250686645508,2018-10-30 23:55:24,3.5547077120000004,77.128416,5.3542875,0.06942042605931385
